objectid,filename,title,creator,date,description,subject,location,format original,format,type,language,rights,rightsstatement
lhs1952_011,lhs1952_011.jpg,"1952 LHS Yearbook - p. 16, 17",London High School,1952,Senior names and images. ,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_012,lhs1952_012.jpg,"1952 LHS Yearbook - p. 18, 19",London High School,1952,Senior names and images. ,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_013,lhs1952_013.jpg,"1952 LHS Yearbook - p. 20, 21",London High School,1952,Senior names and images. Class prohecy.,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_014,lhs1952_014.jpg,"1952 LHS Yearbook - p. 22, 23",London High School,1952,1952 Senior class will. Underclassess title page.,Seniors; Underclassmen,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_015,lhs1952_015.jpg,"1952 LHS Yearbook - p. 24, 25",London High School,1952,"Junior introduction, names, and images. ",Underclassmen,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_016,lhs1952_016.jpg,"1952 LHS Yearbook - p. 26, 27",London High School,1952,"Sophomore introduction, names, and images. ",Underclassmen,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_017,lhs1952_017.jpg,"1953 LHS Yearbook - p. 28, 29",London High School,1952,"Freshman introduction, names, and images. ",Underclassmen,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_018,lhs1952_018.jpg,"1954 LHS Yearbook - p. 30, 31",London High School,1952,Eighth and Seventh grade names and images. Activies title page.,Underclassmen,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_019,lhs1952_019.jpg,"1955 LHS Yearbook - p. 32, 33",London High School,1952,Yearbook staff.,Clubs; Activities,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_020,lhs1952_020.jpg,"1956 LHS Yearbook - p. 34, 35",London High School,1952,Senior services scouts.,Clubs; Activities,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_021,lhs1952_021.jpg,"1957 LHS Yearbook - p. 36, 37",London High School,1952,Hi-Y.,Clubs; Activities,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_022,lhs1952_022.jpg,"1958 LHS Yearbook - p. 38, 39",London High School,1952,Future Farmers of America.,Clubs; Activities,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_023,lhs1952_023.jpg,"1959 LHS Yearbook - p. 40, 41",London High School,1952,Marching band and concert band. ,Clubs; Activities,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_024,lhs1952_024.jpg,"1960 LHS Yearbook - p. 42, 43",London High School,1952,Glee club. ,Clubs; Activities,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_025,lhs1952_025.jpg,"1961 LHS Yearbook - p. 44, 45",London High School,1952,Dramatics.,Clubs; Activities,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_026,lhs1952_026.jpg,"1962 LHS Yearbook - p. 46, 47",London High School,1952,Additional activies. Athletics title page. ,Clubs; Activities; Sports,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_027,lhs1952_027.jpg,"1963 LHS Yearbook - p. 48, 49",London High School,1952,Football.,Sports,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_028,lhs1952_028.jpg,"1964 LHS Yearbook - p. 50, 51",London High School,1952,Football. ,Sports,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_029,lhs1952_029.jpg,"1965 LHS Yearbook - p. 52, 53",London High School,1952,1951 Homecoming and varsity basketball. ,Sports,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_030,lhs1952_030.jpg,"1966 LHS Yearbook - p. 54, 55",London High School,1952,Varsity basketball.,Sports,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_031,lhs1952_031.jpg,"1967 LHS Yearbook - p. 56, 57",London High School,1952,Reserve basketball and cheerleading.,Sports,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_032,lhs1952_032.jpg,"1968 LHS Yearbook - p. 58, 59",London High School,1952,Baseball and golf.,Sports,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_033,lhs1952_033.jpg,"1969 LHS Yearbook - p. 60, 61",London High School,1952,Images of different sports and graduation title page.,Sports,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_034,lhs1952_034.jpg,"1970 LHS Yearbook - p. 62, 63",London High School,1952,Recognition day and baccalaureate. ,Sports; Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_035,lhs1952_035.jpg,"1971 LHS Yearbook - p. 64, 65",London High School,1952,Commencement and senior activies. ,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_036,lhs1952_036.jpg,"1972 LHS Yearbook - p. 66, 67",London High School,1952,Images of seniors and list of activies each senior took part in. ,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_037,lhs1952_037.jpg,"1973 LHS Yearbook - p. 68, 69",London High School,1952,List of activies each senior took part in. ,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_038,lhs1952_038.jpg,"1974 LHS Yearbook - p. 70, 71",London High School,1952,Yearbook sponsors and professionals and autograph page.,Seniors,"London, Ohio",Black and White Book,image/jpeg,Image;StillImage,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/
lhs1952_039,lhs1952_039.jpg,1975 LHS Yearbook - p. 72,London High School,1952,Yearbook publisher information. ,,,,,,,,
